id,title,url,isPaid,price,numSubscribers,numReviews,numPublishedLectures,instructionalLevel,contentInfo,publishedTime,,,Is Paid,Total,Column1
177614,Super Textos con Photoshop,https://www.udemy.com/super-textos-con-photoshop/,TRUE,20,0,0,8,Beginner Level,2 hours,2014-03-31T20:31:04Z,,,,,
1128984,Photoshop - Aprende a Transformar Imágenes,https://www.udemy.com/photoshop-aprende-a-transformar-imagenes/,TRUE,20,0,0,14,Beginner Level,1 hour,2017-03-08T18:05:51Z,,,,,
185528,Iníciate en Microstation,https://www.udemy.com/iniciate-en-microstation/,TRUE,20,0,0,10,Beginner Level,1 hour,2014-04-15T21:52:12Z,,,,,
872262,Adobe Photoshop pentru Social Media,https://www.udemy.com/adobe-photoshop-pentru-social-media/,TRUE,20,0,0,12,Beginner Level,34 mins,2016-06-08T16:02:39Z,,,,,
1137738,Photoshop - Creación de Efectos,https://www.udemy.com/photoshop-creacion-de-efectos/,TRUE,20,0,0,11,Beginner Level,1 hour,2017-03-24T20:06:57Z,,,,,
1185535,Cómo crear maquetas con Adobe XD,https://www.udemy.com/como-crear-maquetas-con-adobe-xd/,FALSE,Free,217,2,21,Beginner Level,3 hours,2017-05-28T16:17:36Z,,,,,
896742,Aprenda Modelagem 3D com o 123D Design,https://www.udemy.com/123d-design/,FALSE,Free,334,26,27,Beginner Level,1 hour,2016-07-07T21:15:34Z,,,,,
609642,Ferramentas Visuais,https://www.udemy.com/ferramentasvisuais/,FALSE,Free,817,42,18,Beginner Level,5 hours,2015-10-09T23:42:33Z,,,,,
723818,Adobe Indesign CC Başlangıç,https://www.udemy.com/adobe-indesign-cc-baslangc/,FALSE,Free,637,21,22,Beginner Level,2.5 hours,2016-01-14T18:52:21Z,,,,,
1085646,How to Doodle: Basics and Lettering,https://www.udemy.com/how-to-doodle-basics-and-lettering/,TRUE,185,2358,28,12,All Levels,1 hour,2017-02-21T17:43:34Z,,,,,
1062048,Mastering Photoshop CC 2017 - The Art of Design & Technology,https://www.udemy.com/mastering-basics-of-photoshopcc-a-complete-beginners-guide/,TRUE,20,3721,95,46,All Levels,6.5 hours,2017-02-04T05:52:17Z,,,,,
